codigo_proyecto;codigo_recurso;año;trimestre;unidad_medida;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
1;5;2023;2;GRAMOS;REGALIAS;239122698;25565
1;5;2023;2;GRAMOS;REGALIAS;290525860;31159
1;5;2023;2;GRAMOS;REGALIAS;292403441;31421
1;6;2023;1;GRAMOS;REGALIAS;356511;3199
1;6;2023;1;GRAMOS;REGALIAS;47224;4104
1;6;2023;1;GRAMOS;REGALIAS;546319;4928
1;6;2023;2;GRAMOS;REGALIAS;47043;4397
1;6;2023;2;GRAMOS;REGALIAS;596687;5234
1;6;2023;2;GRAMOS;REGALIAS;561646;4929
1;12;2023;2;GRAMOS;REGALIAS;1214;0
1;2;2023;1;METROS CUBICOS;REGALIAS;341038;1197
1;4;2023;1;METROS CUBICOS;REGALIAS;329479;123
1;5;2023;1;GRAMOS;REGALIAS;115648;16
1;5;2023;2;GRAMOS;REGALIAS;2299;33
1;5;2023;2;GRAMOS;REGALIAS;124608;17
1;5;2023;2;GRAMOS;REGALIAS;331678;47
1;6;2023;1;GRAMOS;REGALIAS;257;3
1;6;2023;2;GRAMOS;REGALIAS;263;3
1;6;2023;2;GRAMOS;REGALIAS;113;1
1;6;2023;2;GRAMOS;REGALIAS;575;6
1;5;2023;2;GRAMOS;REGALIAS;696171;75
1;5;2023;2;GRAMOS;REGALIAS;805998;87
1;6;2023;2;GRAMOS;REGALIAS;1692;15
1;6;2023;2;GRAMOS;REGALIAS;1491;13
1;5;2023;1;GRAMOS;REGALIAS;2252224949;356524
1;5;2023;1;GRAMOS;REGALIAS;3142177471;462744
1;5;2023;1;GRAMOS;REGALIAS;1866925607;261853
1;5;2023;2;GRAMOS;REGALIAS;2850256232;416657
1;5;2023;2;GRAMOS;REGALIAS;2738117526;426997
1;5;2023;2;GRAMOS;REGALIAS;2839989321;438966
1;6;2023;1;GRAMOS;REGALIAS;2955041;35339
1;6;2023;1;GRAMOS;REGALIAS;4003967;46243
1;6;2023;1;GRAMOS;REGALIAS;2456892;27887
1;6;2023;2;GRAMOS;REGALIAS;3270538;41457
1;6;2023;2;GRAMOS;REGALIAS;3317922;41694
1;6;2023;2;GRAMOS;REGALIAS;3609499;44686
1;12;2023;2;GRAMOS;REGALIAS;29315;5
1;3;2023;1;METROS CUBICOS;REGALIAS;486;0
1;3;2023;2;METROS CUBICOS;REGALIAS;430;0
1;4;2023;1;METROS CUBICOS;REGALIAS;7151;0
1;4;2023;2;METROS CUBICOS;REGALIAS;77146;0
1;2;2023;2;METROS CUBICOS;REGALIAS;801498;2491
1;4;2023;1;METROS CUBICOS;REGALIAS;6160200;22997
1;4;2023;2;METROS CUBICOS;REGALIAS;8361669;27636
